#star_name	spectral_type	m_M	m_M_err	app_mag_J	app_mag_J_err	app_mag_H	app_mag_H_err	app_mag_K	app_mag_K_err	app_mag_3.6	app_mag_3.6_err	app_mag_4.5	app_mag_4.5_err	app_mag_5.8	app_mag_5.8_err	app_mag_8.0	app_mag_8.0_err
2MASSI_J0243137-245329      	T6.0	0.14	0.08	15.38	5	15.14	11	15.22	17	13.9	3	12.95	4	12.71	5	12.27	5
2MASSI_J0328426+230205      	L8.0	2.4	0.28	16.69	14	15.55	12	14.92	11	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSI_J0415195-093506      	T8.0	-1.218	0.021	15.69	6	15.54	11	15.43	20	14.1	4	12.29	3	12.87	7	12.11	5
2MASSI_J0559191-140448      	T5.0	0.075	0.022	13.8	2	13.68	4	13.58	5	12.67	3	11.93	3	11.73	3	11.42	3
2MASSI_J0727182+171001      	T8.0	-0.256	0.017	15.6	6	15.76	17	15.56	19	14.41	3	13.01	3	13.24	6	12.64	11
2MASSI_J0825196+211552      	L7.5	0.139	0.023	15.1	3	13.79	3	13.03	3	11.7	3	11.59	3	11.16	3	10.93	3
2MASSI_J0937347+293142      	T7.0	-1.066	0.023	14.65	4	14.7	7	15.27	13	13.1	4	11.64	5	12.32	3	11.73	5
2MASSI_J1047538+212423                           	T7.0	0.12	0.09	-9999	-9999	-9999	-9999	-9999	-9999	14.39	6	12.95	5	13.52	7	12.91	10
2MASSI_J1217110-031113                           	T7.0	0.21	0.05	-9999	-9999	-9999	-9999	-9999	-9999	14.19	4	13.23	3	13.34	7	12.95	18
2MASSI_J1711457+223204      	L6.5	2.4	0.3	17.09	18	15.8	11	14.73	10	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSI_J1835379+325954      	M8.5	-1.234	0.006	10.27	2	9.62	2	9.17	2	8.55	2	8.55	1	8.39	1	8.29	1
2MASSI_J2356547-155310      	T5.5	0.81	0.11	15.82	6	15.63	10	15.77	18	14.69	4	13.69	3	13.57	8	13.21	17
