#wavelength	flux
106.0261049	1.55E+04
106.0526147	1.53E+04
106.0791312	1.60E+04
106.1056542	1.63E+04
106.1321839	1.65E+04
106.1587203	1.66E+04
106.1852632	1.67E+04
106.2118129	1.66E+04
106.2383691	1.65E+04
106.264932	1.59E+04
106.2915015	1.50E+04
106.3180777	1.49E+04
106.3446605	1.57E+04
106.37125	1.58E+04
106.3978461	1.61E+04
106.4244488	1.68E+04
106.4510582	1.71E+04
106.4776743	1.68E+04
106.504297	1.68E+04
106.5309264	1.70E+04
106.5575624	1.64E+04
106.5842051	1.61E+04
106.6108545	1.68E+04
106.6375105	1.65E+04
106.6641732	1.59E+04
106.6908425	1.65E+04
106.7175186	1.65E+04
106.7442012	1.57E+04
106.7708906	1.62E+04
106.7975866	1.71E+04
106.8242893	1.63E+04
106.8509987	1.59E+04
106.8777148	1.64E+04
106.9044375	1.64E+04
106.931167	1.68E+04
106.9579031	1.78E+04
106.9846459	1.79E+04
107.0113953	1.77E+04
107.0381515	1.82E+04
107.0649144	1.85E+04
107.0916839	1.84E+04
107.1184601	1.78E+04
107.1452431	1.71E+04
107.1720327	1.77E+04
107.198829	1.88E+04
107.2256321	1.91E+04
107.2524418	1.90E+04
107.2792582	1.88E+04
107.3060814	1.76E+04
107.3329112	1.64E+04
107.3597478	1.80E+04
107.3865911	1.92E+04
107.413441	1.92E+04
107.4402977	1.89E+04
107.4671611	1.88E+04
107.4940312	1.94E+04
107.5209081	1.92E+04
107.5477916	1.81E+04
107.5746819	1.83E+04
107.6015789	1.97E+04
107.6284827	2.00E+04
107.6553931	1.95E+04
107.6823103	1.90E+04
107.7092342	1.96E+04
107.7361649	2.02E+04
107.7631023	2.03E+04
107.7900464	2.03E+04
107.8169972	2.03E+04
107.8439548	2.03E+04
107.8709191	2.03E+04
107.8978902	2.02E+04
107.924868	2.02E+04
107.9518526	2.07E+04
107.9788439	2.11E+04
108.005842	2.11E+04
108.0328468	2.09E+04
108.0598583	2.11E+04
108.0868767	2.13E+04
108.1139017	2.13E+04
108.1409336	2.12E+04
108.1679721	2.06E+04
108.1950175	2.03E+04
108.2220696	2.12E+04
108.2491285	2.18E+04
108.2761941	2.18E+04
108.3032665	2.16E+04
108.3303457	2.08E+04
108.3574316	2.06E+04
108.3845243	2.05E+04
108.4116238	2.03E+04
108.4387301	2.00E+04
108.4658432	1.97E+04
108.492963	2.09E+04
108.5200896	2.09E+04
108.547223	1.92E+04
108.5743631	1.91E+04
108.6015101	2.16E+04
108.6286638	2.25E+04
108.6558244	2.26E+04
108.6829917	2.30E+04
108.7101658	2.33E+04
108.7373467	2.33E+04
108.7645344	2.27E+04
108.7917289	2.17E+04
108.8189302	2.23E+04
108.8461383	2.35E+04
108.8733533	2.38E+04
108.900575	2.37E+04
108.9278035	2.35E+04
108.9550388	2.27E+04
108.982281	2.27E+04
109.0095299	2.33E+04
109.0367857	2.35E+04
109.0640482	2.35E+04
109.0913176	2.36E+04
109.1185939	2.32E+04
109.1458769	2.21E+04
109.1731667	2.30E+04
109.2004634	2.42E+04
109.2277669	2.44E+04
109.2550772	2.45E+04
109.2823944	2.42E+04
109.3097184	2.38E+04
109.3370492	2.46E+04
109.3643869	2.50E+04
109.3917313	2.51E+04
109.4190827	2.51E+04
109.4464408	2.46E+04
109.4738058	2.42E+04
109.5011777	2.50E+04
109.5285564	2.53E+04
109.5559419	2.49E+04
109.5833343	2.38E+04
109.6107335	2.39E+04
109.6381396	2.32E+04
109.6655525	1.96E+04
109.6929723	1.86E+04
109.720399	2.13E+04
109.7478325	2.38E+04
109.7752728	2.44E+04
109.80272	2.27E+04
109.8301741	2.23E+04
109.8576351	2.40E+04
109.8851029	2.44E+04
109.9125776	2.38E+04
109.9400591	2.45E+04
109.9675476	2.56E+04
109.9950428	2.50E+04
110.022545	2.38E+04
110.0500541	2.40E+04
110.07757	2.73E+04
110.1050928	2.94E+04
110.1326225	2.91E+04
110.1601591	2.94E+04
110.1877025	2.92E+04
110.2152528	2.89E+04
110.2428101	2.95E+04
110.2703742	3.11E+04
110.2979452	3.22E+04
110.3255231	3.32E+04
110.3531079	3.46E+04
110.3806996	3.45E+04
110.4082982	3.27E+04
110.4359037	3.25E+04
110.4635161	3.46E+04
110.4911354	3.48E+04
110.5187616	3.51E+04
110.5463947	3.65E+04
110.5740348	3.75E+04
110.6016817	3.71E+04
110.6293356	3.59E+04
110.6569963	3.85E+04
110.684664	4.22E+04
110.7123386	4.20E+04
110.7400201	4.14E+04
110.7677085	4.59E+04
110.7954039	4.92E+04
110.8231062	4.59E+04
110.8508154	5.14E+04
110.8785315	6.22E+04
110.9062546	7.79E+04
110.9339846	1.02E+05
110.9617216	1.00E+05
110.9894654	9.14E+04
111.0172162	1.32E+05
111.044974	2.30E+05
111.0727387	2.86E+05
111.1005103	3.42E+05
111.1282889	3.91E+05
111.1560744	2.67E+05
111.1838668	2.05E+05
111.2116663	2.13E+05
111.2394726	3.42E+05
111.2672859	5.31E+05
111.2951062	6.48E+05
111.3229334	6.48E+05
111.3507676	7.36E+05
111.3786088	5.90E+05
111.4064569	2.44E+05
111.4343119	1.30E+05
111.462174	1.58E+05
111.490043	2.71E+05
111.5179189	5.07E+05
111.5458019	8.51E+05
111.5736918	1.24E+06
111.6015887	1.75E+06
111.6294925	1.96E+06
111.6574034	1.82E+06
111.6853212	1.19E+06
111.713246	5.30E+05
111.7411777	2.92E+05
111.7691165	2.97E+05
111.7970622	4.61E+05
111.825015	6.70E+05
111.8529747	1.21E+06
111.8809414	1.87E+06
111.9089151	1.96E+06
111.9368958	1.85E+06
111.9648835	1.76E+06
111.9928782	1.59E+06
112.0208799	1.48E+06
112.0488886	1.35E+06
112.0769043	1.44E+06
112.104927	1.39E+06
112.1329567	9.80E+05
112.1609934	5.23E+05
112.1890371	2.35E+05
112.2170879	8.68E+04
112.2451456	7.72E+04
112.2732104	2.68E+05
112.3012822	8.40E+05
112.329361	1.72E+06
112.3574468	2.36E+06
112.3855396	2.60E+06
112.4136395	2.36E+06
112.4417464	1.88E+06
112.4698603	1.53E+06
112.4979813	1.71E+06
112.5261093	2.04E+06
112.5542443	2.09E+06
112.5823863	2.50E+06
112.6105354	2.63E+06
112.6386915	2.21E+06
112.6668547	1.58E+06
112.6950249	1.53E+06
112.7232022	1.95E+06
112.7513865	1.91E+06
112.7795778	1.40E+06
112.8077762	7.98E+05
112.8359816	5.16E+05
112.8641941	4.25E+05
112.8924137	4.50E+05
112.9206403	4.28E+05
112.9488739	5.38E+05
112.9771147	6.66E+05
113.0053624	6.14E+05
113.0336173	7.46E+05
113.0618792	1.43E+06
113.0901482	1.95E+06
113.1184242	2.04E+06
113.1467073	2.02E+06
113.1749975	1.91E+06
113.2032948	2.33E+06
113.2315991	2.56E+06
113.2599105	1.90E+06
113.288229	1.55E+06
113.3165546	2.08E+06
113.3448872	2.02E+06
113.3732269	1.35E+06
113.4015738	1.14E+06
113.4299277	1.23E+06
113.4582887	1.52E+06
113.4866568	1.69E+06
113.515032	1.82E+06
113.5434142	1.85E+06
113.5718036	2.09E+06
113.6002001	2.72E+06
113.6286036	3.11E+06
113.6570143	2.77E+06
113.6854321	2.21E+06
113.713857	2.01E+06
113.742289	2.28E+06
113.7707281	2.50E+06
113.7991743	2.49E+06
113.8276276	1.91E+06
113.856088	1.25E+06
113.8845556	1.07E+06
113.9130303	7.45E+05
113.941512	5.13E+05
113.970001	4.32E+05
113.998497	3.18E+05
114.0270001	2.44E+05
114.0555104	5.23E+05
114.0840278	1.32E+06
114.1125524	1.52E+06
114.1410841	1.30E+06
114.1696229	1.25E+06
114.1981688	1.30E+06
114.2267219	1.51E+06
114.2552821	1.91E+06
114.2838495	2.10E+06
114.312424	1.31E+06
114.3410056	5.59E+05
114.3695944	6.26E+05
114.3981904	1.01E+06
114.4267935	1.21E+06
114.4554037	1.69E+06
114.4840211	1.87E+06
114.5126457	1.97E+06
114.5412774	1.97E+06
114.5699163	2.05E+06
114.5985623	2.42E+06
114.6272155	2.47E+06
114.6558758	2.04E+06
114.6845434	1.62E+06
114.7132181	1.43E+06
114.7418999	1.45E+06
114.7705889	1.90E+06
114.7992852	1.98E+06
114.8279885	1.80E+06
114.8566991	1.80E+06
114.8854168	1.91E+06
